Kennung;Name;" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
04020205;Siedlung Ruhleben;.;1,34;.;.;.;.
04020206;Angerburger Allee;1,76;2,93;2,30;2,72;0,68;7,55
04020207;Flatowallee;0,74;2,57;.;.;.;.
04020208;Kranzallee;1,56;1,90;1,65;.;1,14;.
04020209;Eichkamp;0,22;0,76;.;.;.;.
04020310;Park Ruhwald;x;x;x;x;x;x
04020311;Reichsstraße;0,74;3,91;0,80;3,31;0,58;11,76
04020312;Branitzer Platz;1,58;4,55;1,94;3,54;0,41;18,35
04020313;Königin-Elisabeth-Straße;1,04;7,06;1,22;5,68;0,59;19,61
04020314;Messegelände;x;x;x;x;x;x
04030415;Schloßgarten;2,99;19,13;4,72;15,77;1,04;35,88
04030416;Klausenerplatz;1,75;15,79;2,07;14,33;0,92;20,18
04030417;Schloßstraße;0,79;9,26;0,89;8,61;0,50;13,45
04030518;Tegeler Weg;1,55;13,97;1,80;12,06;0,97;21,73
04030519;Kaiserin-Augusta-Allee;1,87;11,44;2,10;9,96;1,34;18,59
04030620;Alt-Lietzow;1,17;9,84;1,39;7,39;0,69;25,66
04030621;Spreestadt;1,34;19,51;1,80;16,67;0,66;30,26
04030622;Richard-Wagner-Straße;1,23;15,17;1,45;13,43;0,76;23,62
04030623;Ernst-Reuter-Platz;1,29;17,72;1,54;11,70;0,85;38,03
04030724;Lietzensee;0,95;9,46;0,94;6,11;0,97;29,80
04030725;Amtsgerichtsplatz;0,70;7,00;0,84;6,37;0,36;11,11
04030726;Droysenstraße;0,81;6,86;0,83;6,19;0,74;11,59
04030827;Karl-August-Platz;1,03;12,14;1,42;11,25;0,47;15,22
04030828;Savignyplatz;0,75;7,53;0,91;6,97;0,44;10,44
04030929;Hindemithplatz;0,78;10,10;0,86;9,00;0,57;15,13
04030930;George-Grosz-Platz;0,59;8,31;0,57;7,21;0,63;14,15
04030931;Breitscheidplatz;0,66;9,07;0,76;8,09;0,53;12,99
04031032;Halensee;0,81;7,49;1,01;6,44;0,36;15,04
04041133;Güterbahnhof Grunewald;x;x;x;x;x;x
04041134;Bismarckallee;1,23;5,51;1,48;5,31;0,67;7,63
04041135;Hundekehle;1,58;1,51;1,91;.;0,74;.
04041136;Hagenplatz;2,62;2,54;3,11;2,24;1,35;5,56
04041137;Flinsberger Platz;0,86;6,47;0,89;5,67;0,78;13,99
04041238;Kissinger Straße;0,71;3,95;0,64;3,22;0,93;12,78
04041239;Stadion Wilmersdorf;0,53;2,80;.;.;.;.
04041240;Messelpark;1,06;1,66;.;.;.;.
04041241;Breite Straße;0,90;4,55;0,87;4,10;1,04;12,28
04041342;Schlangenbader Straße;2,50;9,76;2,25;7,84;3,20;28,79
04041343;Binger Straße;0,86;5,90;0,67;4,98;1,55;16,25
04041344;Rüdesheimer Platz;0,89;4,54;1,00;4,01;0,42;10,85
04051445;Eisenzahnstraße;0,67;7,49;0,68;6,16;0,64;16,48
04051446;Preußenpark;0,79;8,80;0,90;7,36;0,57;17,79
04051447;Ludwigkirchplatz;1,10;6,93;1,27;6,02;0,71;13,29
04051448;Schaperstraße;1,08;7,13;1,25;6,04;0,78;12,84
04051549;Rathaus Wilmersdorf;1,19;7,75;1,34;6,76;0,82;14,55
04051550;Leon-Jessel-Platz;0,93;9,46;1,02;8,34;0,69;14,94
04051551;Brabanter Platz;1,40;9,35;1,74;7,43;0,51;20,63
04051652;Nikolsburger Platz;0,64;6,81;0,75;5,55;0,40;17,25
04051653;Prager Platz;1,46;7,21;2,03;6,49;0,29;12,00
04051654;Wilhelmsaue;0,65;6,98;.;5,28;.;21,84
04051655;Babelsberger Straße;1,50;10,40;1,78;8,68;0,84;20,59
04051656;Hildegardstraße;0,54;6,26;0,59;5,47;0,37;13,70
04061757;Forst Grunewald;x;x;x;x;x;x
05010101;Hakenfelde Nord;2,45;3,60;2,83;3,19;0,95;11,11
05010102;Goltzstraße;2,05;5,57;2,54;4,82;0,78;17,76
05010103;Amorbacher Weg;2,30;4,25;2,33;3,31;2,05;22,92
05010204;Griesingerstr.;1,25;8,19;.;7,03;.;27,45
05010205;An der Tränke;0,32;0,67;.;.;.;.
05010206;Gütersloher Weg;1,95;7,07;2,50;5,88;0,81;23,95
05010207;Darbystr.;3,01;11,73;3,95;10,86;0,86;19,75
05010208;Germersheimer Platz;2,01;9,21;2,53;8,35;0,65;16,67
05010209;An der Kappe;1,22;3,08;1,41;2,90;0,53;5,61
05010310;Eckschanze;2,10;10,12;2,73;9,41;0,71;15,79
05010311;Eiswerder;1,74;5,46;2,31;4,89;0,73;10,06
05010312;Kurstr.;1,92;16,36;2,66;15,48;1,10;19,07
05010313;Ackerstr.;1,89;10,49;2,52;9,54;0,58;15,38
05010314;Carl-Schurz-Str.;1,72;9,79;2,02;8,38;0,94;18,33
05010339;Freiheit;x;x;x;x;x;x
05020415;Isenburger Weg;0,24;0,61;.;.;.;.
05020416;Am Heideberg;0,74;1,87;.;.;.;.
05020417;Staakener Str.;0,81;2,60;0,86;2,13;0,62;9,09
05020418;Spandauer Str.;1,05;3,17;.;2,80;.;10,42
05020419;Magistratsweg;2,16;6,38;2,53;5,70;1,03;19,57
05020420;Werkstr.;.;4,14;.;.;.;.
05020521;Döberitzer Weg;0,35;0,96;.;.;.;.
05020522;Pillnitzer Weg;2,14;10,04;2,85;8,00;0,92;31,20
05020523;Maulbeerallee;2,96;17,18;4,40;15,41;0,94;31,60
05020524;Weinmeisterhornweg;0,89;3,06;.;2,97;.;5,80
05020625;Borkumer Str.;0,93;8,03;1,24;6,69;0,25;24,48
05020626;Adamstr.;1,63;8,49;2,09;7,02;0,42;21,88
05020627;Tiefenwerder;2,53;11,96;3,52;10,45;0,65;28,79
05020628;Graetschelsteig;1,87;3,70;.;3,04;.;27,78
05020629;Börnicker Str.;0,69;2,05;.;1,88;.;7,27
05030730;Zitadellenweg;1,03;6,77;1,15;6,24;0,66;9,52
05030731;Gartenfelder Str.;1,78;8,24;2,10;7,16;0,98;17,75
05030832;Rohrdamm;1,53;8,64;1,96;7,38;0,68;14,51
05030833;Motardstr.;x;x;x;x;x;x
05040934;Alt-Gatow;0,53;1,06;.;0,50;.;13,64
05040935;Groß-Glienicker Weg;x;x;x;x;x;x
05040936;Jägerallee;0,26;0,95;.;.;.;.
05040937;Kladower Damm;3,58;3,20;.;2,95;.;8,11
05040938;Kafkastr.;0,28;0,24;.;.;.;.
06010101;Fichtenberg;0,67;2,80;.;2,11;.;13,08
06010102;Schloßstr.;0,62;5,29;0,68;4,15;0,44;13,86
06010103;Markelstr.;0,88;6,45;0,97;5,38;0,51;14,39
06010204;Munsterdamm;1,15;6,03;1,32;4,74;0,60;18,12
06010205;Südende;1,03;6,49;1,22;5,32;0,35;21,09
06010206;Stadtpark;1,30;6,47;1,47;4,76;0,63;21,76
06010207;Mittelstr.;1,12;5,99;1,23;5,08;0,73;14,37
06010208;Bergstr.;1,02;8,19;1,16;7,63;0,46;12,99
06010209;Feuerbachstr.;0,79;6,26;0,90;5,63;0,43;11,32
06010210;Bismarckstr.;1,08;7,06;1,15;6,17;0,79;15,63
06020301;Alt-Lankwitz;2,54;4,01;2,85;3,58;0,90;11,84
06020302;Komponistenviertel Lankwitz;0,97;2,90;1,15;2,13;0,45;14,29
06020303;Lankwitz-Kirche;1,44;7,41;1,50;6,33;1,24;20,33
06020304;Kaiser-Wilhelm-Str.;1,19;6,71;1,33;6,15;0,66;14,04
06020305;Gemeindepark Lankwitz;2,01;6,73;2,38;5,55;0,94;20,45
06020306;Lankwitz-Süd;0,72;3,12;0,67;2,62;1,05;13,92
06020407;Thermometersiedlung;1,40;9,14;1,91;8,00;0,51;18,32
06020408;Lichterfelde-Süd;1,30;5,81;1,38;5,08;1,01;20,21
06020409;Königsberger Str.;1,01;3,45;1,14;2,85;0,54;14,50
06020410;Oberhofer Platz;0,80;1,71;.;1,61;.;3,15
06020411;Schütte-Lanz-Str.;0,98;2,57;1,06;2,28;0,62;8,13
06030501;Berlepschstr.;0,81;2,07;0,92;1,81;0,44;7,50
06030502;Zehlendorf-Süd;2,11;5,52;2,35;4,73;0,90;18,75
06030503;Zehlendorf-Mitte;1,15;3,79;1,21;3,19;0,89;10,73
06030504;Teltower Damm;0,68;1,12;.;1,07;.;2,20
06030605;Botanischer Garten;1,18;3,12;1,24;2,92;0,93;5,88
06030606;Hindenburgdamm;1,31;4,25;1,54;3,38;0,71;11,97
06030607;Goerzwerke;1,48;2,89;.;.;.;.
06030608;Schweizer Viertel;0,58;1,72;0,63;1,62;0,36;3,37
06030609;Augustaplatz;0,71;2,82;0,74;2,58;0,54;6,49
06030610;Lichterfelde-West;0,41;2,44;.;2,07;.;7,95
06040701;Wannsee;0,49;1,75;.;1,58;.;4,15
06040702;Düppel;1,52;2,63;1,55;2,07;1,27;12,50
06040703;Nikolassee;0,70;2,18;0,93;2,00;0,20;4,97
06040804;Krumme Lanke;0,37;1,45;.;1,15;.;6,21
06040805;Fischerhüttenstr.;1,08;2,52;.;2,44;.;3,70
06040806;Fischtal;0,56;2,50;.;2,21;.;9,30
06040807;Zehlendorf-Eiche;1,11;2,31;1,24;1,91;0,52;9,52
06040808;Hüttenweg;0,28;2,30;.;.;.;.
06040809;Thielallee;0,45;1,32;.;1,24;.;1,90
06040810;Dahlem;0,59;1,02;.;0,85;.;2,98
07010101;Wittenbergpl./Vikt.-Luise-Pl.;1,74;11,93;1,98;9,44;1,28;24,21
07010102;Nollendorfplatz;2,33;19,25;2,78;14,00;1,61;33,56
07010103;Barbarossaplatz;0,98;9,22;1,01;7,73;0,90;16,72
07010104;Dennewitzplatz;2,16;24,37;2,30;18,65;1,90;32,98
07020201;Bayerischer Platz;1,27;6,59;1,36;5,63;0,99;13,11
07020202;Volkspark (Rud.-Wilde-Park);1,28;7,91;1,44;6,76;0,95;14,57
07020203;Kaiser-Wilhelm-Platz;1,76;14,26;1,91;13,07;1,39;18,60
07020204;Schöneberger Insel;1,31;12,09;1,59;11,47;0,51;14,66
07030301;Friedenau;0,69;4,59;0,73;4,23;0,54;9,16
07030302;Ceciliengärten;0,83;4,82;0,88;3,99;0,64;11,63
07030303;Grazer Platz;1,33;8,51;1,43;7,02;1,04;14,62
07040401;Neu-Tempelhof;1,43;7,16;1,59;6,06;0,88;14,92
07040402;Lindenhofsiedlung;2,07;8,38;2,08;7,05;2,03;33,33
07040403;Manteuffelstr.;1,13;7,98;1,26;6,71;0,76;17,87
07040404;Marienhöhe;2,14;5,94;2,29;5,30;1,47;14,43
07040405;Rathaus Tempelhof;1,19;7,80;1,33;5,37;0,89;25,51
07040406;Germaniagarten;2,16;20,67;2,97;18,26;0,95;30,49
07050501;Rathausstr.;1,34;7,62;1,56;5,54;0,74;24,31
07050502;Fritz-Werner-Str.;1,29;5,24;1,38;3,77;1,09;25,52
07050503;Eisenacher Str.;1,96;5,97;2,26;4,95;0,86;17,17
07050504;Imbrosweg;1,75;6,40;1,93;5,30;1,01;20,83
07050505;Hundsteinweg;1,18;3,12;1,34;2,58;0,53;13,58
07050506;Birnhornweg;0,32;0,77;.;.;.;.
07060601;Marienfelder Allee Nordwest;1,71;6,77;2,12;5,49;0,66;24,84
07060602;Kirchstr.;0,77;3,15;.;2,76;.;9,46
07060603;Marienfelde Nordost;0,47;2,73;.;2,06;.;13,21
07060604;Marienfelde Süd;1,69;7,89;2,01;6,55;0,61;30,22
07070701;Kettinger Str./Schillerstr.;0,58;2,18;0,57;1,85;0,68;9,84
07070702;Alt-Lichtenrade/Töpch. Weg;1,20;3,56;1,28;3,06;0,64;15,38
07070703;John-Locke-Str.;1,86;5,55;2,08;4,85;0,99;17,56
07070704;Nahariyastr.;1,77;8,20;2,14;7,23;0,79;25,00
07070705;Franziusweg/ Rohrbachstr.;0,79;2,44;0,81;1,89;0,63;16,92
07070706;Horstwald. Str./Paplitzer Str.;0,73;1,86;.;.;.;.
07070707;Wittelsbacherstr.;0,52;0,81;.;.;.;.
08010115;Hasenheide;0,69;12,03;.;.;.;.
08010116;Wissmannstraße;3,01;24,71;4,33;20,71;1,25;30,14
08010117;Schillerpromenade;1,67;22,88;2,16;21,94;0,85;24,84
08010118;Silbersteinstraße;2,11;17,21;2,55;14,36;1,49;25,53
08010211;Flughafenstraße;1,76;20,90;1,85;20,10;1,64;22,22
08010212;Rollberg;3,03;20,68;3,68;18,84;2,06;24,12
08010213;Körnerpark;1,81;20,36;2,20;17,01;1,22;27,79
08010214;Glasower Straße;2,88;17,18;3,37;14,82;2,26;24,67
08010301;Reuterkiez;1,55;16,97;1,80;16,35;1,11;18,53
08010302;Bouchéstraße;1,92;13,63;2,26;11,49;0,98;26,04
08010303;Donaustraße;1,98;27,36;2,37;25,50;1,49;29,93
08010404;Rixdorf;2,02;18,01;2,32;15,86;1,52;22,51
08010405;Hertzbergplatz;1,64;15,09;1,78;11,67;1,39;29,59
08010406;Treptower Straße Nord;2,26;19,41;3,31;15,12;0,98;34,12
08010407;Gewerbegebiet Ederstraße;x;x;x;x;x;x
08010508;Weiße Siedlung;2,83;19,20;3,13;16,88;2,53;26,26
08010509;Schulenburgpark;3,52;21,29;4,19;17,62;2,43;36,36
08010510;Gewerbegeb. Köllnische Heide;x;x;x;x;x;x
08020619;Buschkrugallee Nord;2,98;9,89;4,08;7,93;1,36;21,46
08020620;Tempelhofer Weg;2,51;10,83;3,18;9,53;1,00;21,76
08020621;Mohriner Allee Nord;0,66;0,68;.;.;.;.
08020622;Parchimer Allee;1,45;6,96;1,46;5,84;1,40;23,15
08020623;Ortolanweg;4,62;6,50;4,14;5,57;6,57;17,86
08020624;Britzer Garten;1,13;9,69;.;7,69;.;21,88
08020625;Handwerker-Siedlung;1,29;5,50;1,30;4,54;1,26;16,67
08020726;Buckow West;0,99;4,55;0,97;3,64;1,12;17,73
08020727;Buckow Mitte;1,07;3,81;1,19;3,26;0,55;15,83
08020728;Buckow Ost;1,21;8,04;1,40;7,00;0,83;20,13
08030829;Gropiusstadt Nord;2,34;9,01;2,48;6,60;2,02;31,76
08030830;Gropiusstadt Süd;1,78;6,22;2,06;5,24;1,02;18,44
08030831;Gropiusstadt Ost;2,69;8,60;3,00;6,62;1,99;25,17
08040932;Goldhähnchenweg;1,68;3,87;1,89;3,64;0,96;13,04
08040933;Vogelviertel Süd;1,42;3,70;1,54;3,42;0,99;8,00
08040934;Vogelviertel Nord;1,33;4,82;.;3,67;.;20,93
08041035;Blumenviertel;0,69;1,65;0,60;0,99;1,03;9,58
08041036;Zittauer Straße;0,78;1,78;0,73;1,48;1,08;6,86
08041037;Alt-Rudow;0,95;4,20;1,00;3,36;0,74;17,83
08041038;Waßmannsdorfer Chaussee;0,64;2,29;0,64;2,24;0,67;3,19
08041039;Frauenviertel;1,68;4,20;1,64;3,73;1,97;10,64
08041040;Waltersdorfer Chaussee Ost;0,80;3,80;.;3,15;.;15,09
09010101;Elsenstr.;1,15;7,21;1,34;5,96;0,56;24,72
09010102;Am Treptower Park Nord;x;x;x;x;x;x
09010201;Am Treptower Park Süd;0,93;2,24;.;.;.;.
09010202;Köpenicker Landstraße;1,67;2,20;.;1,93;.;20,83
09010301;Baumschulenstraße;1,14;2,24;1,29;1,80;0,37;27,42
09010302;Späthsfelde;0,49;1,20;0,41;0,48;0,87;13,51
09010401;Johannisthal West;0,90;1,85;.;1,53;.;37,50
09010402;Johannisthal Ost;0,79;3,00;0,86;2,84;0,30;8,77
09020501;Oberschöneweide West;1,40;8,69;1,87;7,25;0,25;46,15
09020502;Oberschöneweide Ost;1,43;5,90;1,59;5,37;0,81;26,42
09020601;Schnellerstr;0,67;4,26;0,88;3,25;0,18;28,00
09020602;Oberspree;1,66;3,32;1,64;3,08;1,79;33,33
09020701;Adlershof West;0,26;2,16;.;.;.;.
09020702;Adlershof Ost;1,14;2,88;1,31;2,43;0,42;27,59
09020801;Spindlersfeld;2,04;2,89;2,27;2,79;0,37;7,14
09020802;Kölln. Vorstadt;1,64;4,69;1,89;3,38;0,57;47,50
09030901;Dorf Altglienicke;0,50;0,94;.;0,82;.;6,78
09030902;Wohngebiet II;2,12;8,11;2,24;7,23;1,46;32,43
09030903;Kölner Viertel;0,96;4,44;0,87;4,11;1,54;17,86
09031001;Bohnsdorf;0,74;1,31;0,79;1,13;0,37;16,22
09031101;Grünau;0,51;1,22;.;1,01;.;14,29
09031201;Karolinenhof;.;0,67;.;.;.;.
09031202;Schmöckw./Rauchf.-werder;0,32;0,95;.;.;.;.
09041301;Kietzer Feld/Nachtheide;1,77;2,52;.;2,30;.;36,36
09041302;Wendenschloß;.;0,97;.;.;.;.
09041401;Allende I;1,57;0,67;.;.;.;.
09041402;Allende II;.;.;.;.;.;.
09041501;Altstadt-Kietz;1,78;5,69;1,99;5,48;0,65;12,12
09041601;Müggelheim;0,32;0,79;.;.;.;.
09051701;Hirschgarten;1,44;0,85;.;0,60;.;23,08
09051702;Bölschestraße;0,80;1,20;0,81;1,09;0,68;14,71
09051801;Rahnsdorf/Hessenwinkel;0,64;1,02;.;0,92;.;10,71
09051901;Dammvorstadt;0,94;2,21;1,03;2,03;0,44;12,20
09052001;Köpenick-Nord;0,74;1,16;0,74;.;0,78;.
10010101;Marzahn-West;1,93;13,09;2,14;11,36;1,09;46,34
10010102;Havemannstr.;2,03;10,80;2,32;9,47;0,73;45,13
10010203;Gewerbegeb. Bitterfelder Str.;1,80;31,37;3,46;34,21;0,71;23,08
10010204;Wuhletalstr.;1,88;5,83;2,15;5,28;0,71;48,39
10010205;Marzahn-Ost;1,80;4,38;.;3,89;.;26,47
10010206;Ringkolonnaden;1,84;3,36;2,22;3,08;0,52;19,51
10010207;Marzahner Promenade;1,68;3,73;1,88;3,19;0,92;32,76
10010308;Marzahner Chaussee;0,95;1,58;.;1,02;.;20,00
10010309;Springpfuhl;2,21;3,82;2,53;3,31;0,97;42,37
10010310;Alt-Marzahn;1,33;2,91;1,51;2,40;0,60;37,66
10010311;Landsberger Tor;2,21;3,02;.;2,76;.;21,43
10020412;Alte Hellersdorfer Straße;2,44;12,65;2,78;10,53;1,25;46,51
10020413;Gut Hellersdorf;1,70;7,56;1,95;6,86;0,71;41,67
10020414;Helle Mitte;1,63;12,77;1,96;.;1,01;.
10020415;Hellersdorfer Promenade;2,33;12,50;3,28;10,01;0,54;47,27
10020416;Böhlener Str.;2,11;11,09;.;8,55;.;43,24
10020517;Adele-Sandrock-Str.;1,31;3,17;1,53;2,80;0,32;24,14
10020518;Schleipfuhl;1,38;7,47;.;6,28;.;42,11
10020519;Boulevard Kastanienallee;2,63;10,70;3,45;10,26;0,47;18,75
10020620;Kaulsdorf-Nord II;1,63;5,85;1,73;5,45;1,09;25,00
10020621;Gelbes Viertel;1,80;10,04;.;8,21;.;60,00
10020622;Kaulsdorf-Nord I;1,17;3,38;1,29;3,15;0,43;17,95
10020623;Rotes Viertel;1,88;4,25;1,93;3,77;1,43;34,62
10030724;Oberfeldstr.;0,40;0,44;.;.;.;.
10030725;Buckower Ring;2,24;5,03;2,49;4,63;0,88;24,24
10030726;Alt-Biesdorf;1,05;0,85;.;.;.;.
10030727;Biesdorf-Süd;0,85;0,61;.;0,50;.;16,67
